country;director;genre;imdb_rating;title;year
['Франция'];['Жан-Луи Гийерму'];['комедия'];3.4;2 дурня в снегу;1977
['Россия'];['Сергей Соловьёв'];['драма'];4.6;2-Асса-2;2008
['Австралия'];['Мулари К Теллури'];['драматический фильм'];6.8;2:37;2006
['США'];['Нил Бёргер'];['комедийная драма'];7.0;1+1: Голливудская история;2019
['США', 'Австралия'];['Пол Карри'];['триллер'];5.7;2:22;2017
['США'];['Бенни Бум'];['байопик', 'драма', 'боевик'];5.9;2pac: Легенда;2017
['Франция', 'Германия'];['Жюли Дельпи'];['комедия', 'драма', 'мелодрама'];6.7;2 дня в Париже;2007
['Канада'];['Манон Брайан'];['комедия'];6.6;2 секунды;1998
['Азербайджан'];['Эльчин Мусаоглу'];['драма'];7.9;40-я дверь;2009
['Бразилия'];['Марко Фиорито'];['порнофильм', 'ЛГБТ-фильм'];4.3;2 Girls 1 Cup;2007
['США'];['Брайан Хелгеленд'];['драма', 'спортивный фильм'];7.5;42 / Номер 42;2013
['США'];['Ллойд Бэкон', 'Басби Беркли'];['комедия', 'мюзикл', 'мелодрама'];7.3;42-я улица;1933
['США'];['Ли Рой Майерс'];['порнофильм'];6.3;30 Rock: A XXX Parody;2009
['Франция'];['Оливье Накаш', 'Эрик Толедано'];['комедийная драма', 'бадди-муви'];8.5;1+1;2011
['Россия'];['Александр Муратов'];['комедия', 'фантастика', 'мелодрама'];5.0;32 декабря;2004
['США'];['Пол Краудер'];['документальный'];7.9;1;2013
['Индия'];['Сенна Хегде'];['документальный', 'драма', 'комедия'];8.9;0-41*;2016
['Франция', 'Великобритания'];['Юго Желен'];['драма', 'семейный', 'Музыка к фильму'];7.3;2+1;2016
['США'];['Роб Зомби'];['Фильм ужасов'];5.1;31;2016
['США', 'Чили', 'Колумбия'];['Патрисия Ригген'];['драма'];6.9;33;2015
['СССР'];['Леонид Квинихидзе'];['музыкальный фильм', 'мюзикл', 'фэнтези'];7.3;31 июня;1978
['Мексика', 'Испания'];['Ригоберто Кастаньеда'];['ужасы', 'мистика'];5.3;31-й километр;2006
['Канада'];['Дени Вильнёв'];['драма', 'мелодрама'];6.5;32-е августа на Земле;1998
['Республика Корея'];['Кан Джегю'];['драма', 'боевик', 'военный'];8.0;38-я параллель;2004
['Гонконг'];['Чэнь Чжихуа'];['боевик', 'комедия'];5.0;36 безумных кулаков;1977
['СССР'];['Андрей Малюков'];['Фильм-катастрофа', 'приключенческий фильм', 'драма'];6.2;34-й скорый;1981
['Венгрия'];['Карой Макк'];['исторический фильм военный экранизация'];6.7;39-я бригада;1959
['США'];['Майкл Леманн'];['кинокомедия'];5.6;40 дней и 40 ночей;2002
['Россия'];['Александр Галибин'];['детектив', 'триллер'];5.8;40;2007
['Австралия'];['Стив МакКаллум'];['криминальный'];5.3;1%;2017
['СССР'];['Амасий Мартиросян'];['комедия'];7.7;01-99;1959
['США'];['Питер Хатчингс'];['независимый кинематограф'];6.9;30 безумных желаний  Внешние видеофайлы;2018
['США'];['Лейф Тильден'];['драма', 'мелодрама'];6.3;1 миля до тебя;2017
['Швеция'];['Андерс Банке'];['фильм ужасов', 'комедия'];5.5;30 дней до рассвета;2006
['Россия'];['Таисия Игуменцева'];['комедия', 'мелодрама'];4.9;30 свиданий;2016
['США'];['Крэйг Мосс'];['комедийный', 'фильм ужасов'];2.6;30 ночей паранормального явления с одержимой девушкой с татуировкой дракона;2012
['США'];['Бен Кетай'];['триллер', 'фильм ужасов'];4.3;30 дней ночи: Тёмные времена;2010
['США'];['Дэвид Слейд'];['фильм о вампирах'];6.6;30 дней ночи;2007
['Россия'];['Леонид Андронов'];['драма', 'музыкальный фильм'];8.7;29 Километр;2012
[];['Ниа Дакоста'];['постапокалиптика', 'фильм ужасов'];;28 лет спустя. Часть II: Костяной храм;2026
['Франция', 'Германия', 'США'];['Брюно Дюмон'];['драма', 'роуд-муви'];5.1;29 пальм;2003
['США'];['Джордж Галло'];['комедия', 'драма'];7.1;29-я улица;1991
['Великобритания', 'США', 'Испания'];['Хуан Карлос Фреснадильо'];['постапокалиптический', 'фильм ужасов'];6.9;28 недель спустя;2007
['Великобритания'];['Дэнни Бойл'];['постапокалиптический', 'фильм ужасов', 'Музыка к фильму'];7.5;28 дней спустя;2003
['Россия', 'Чехия', 'Нидерланды'];['Иван Качалин'];['документальный'];6.8;27 Секунд памяти;2019
['США'];['Энн Флетчер'];['романтическая комедия'];6.1;27 свадеб;2008
['Грузия', 'Франция', 'Германия', 'Россия'];['Нана Джорджадзе'];['комедия', 'драма', 'мелодрама'];6.6;27 украденных поцелуев;2000
['Великобритания', 'США'];['Дэнни Бойл'];['постапокалиптический', 'фильм ужасов'];;28 лет спустя;2025
['США'];['Бетти Томас'];['драма', 'комедия'];6.1;28 дней;2000
['США'];['Уильям Эшер'];['научная фантастика'];6.1;27-й день;1957
['СССР'];['Алоиз Бренч', 'Ростислав Горяев'];['детективный фильм', 'драма'];5.9;24-25 не возвращается;1968
['США'];['Спайк Ли'];['криминальный фильм', 'драма'];7.6;25-й час;2002
['Уругвай'];['Хуан Пабло Ребелья', 'Пабло Столь'];['Комедийная драма'];7.1;25 ватт;2001
['ЮАР', 'США', 'США'];['Джон Кассар'];['боевик', 'драматический фильм', 'Музыка к фильму'];7.4;24 часа: Искупление;2008
['Россия'];['Александр Атанесян'];['боевик', 'драма'];6.0;24 часа;2000
['США'];['Нэнси Савока'];['комедия'];5.3;24 часа из жизни женщины;1999
['Германия'];['Анна Зора Берашед'];['драматический фильм'];7.1;24 недели;2016
['США', 'Германия'];['Луис Мандоки'];['триллер'];6.1;24 часа;2002
['Германия'];['Ганс-Христиан Шмидт'];['триллер', 'драма'];7.2;23 - Всё не то, чем кажется;1998
['Иран', 'Франция'];['Аббас Киаростами'];['драматический фильм'];6.8;24 кадра;2017
['Россия'];['Борис Галкин'];['драма'];5.5;22 июня, ровно в 4 часа…;1992
['Франция'];['Ришар Берри'];['триллер', 'детектив'];6.6;22 пули: Бессмертный;2010
['Россия'];['Василий Сериков'];['боевик'];5.3;22 минуты;2014
['США'];['Питер Берг'];['боевик', 'триллер'];6.1;22 мили;2018
['Франция'];['Арно Ларье', 'Жан-Мари Ларье'];['комедия'];6.2;21 ночь с Патти;2015
['США'];['Брайан Кирк'];['драма', 'триллер', 'детектив'];6.6;21 мост;2019
['США'];['Джон Лукас', 'Скотт Мур'];['комедия'];5.8;21 и больше;2013
['Россия'];['Александр Горновский'];['драма', 'комедия'];5.3;20 сигарет;2007
['США'];['Алехандро Гонсалес Иньярриту'];['драма'];7.6;21 грамм;2003
['США'];['Пол Гринграсс'];['Драма'];6.8;22 июля;2018
['США', 'Италия', 'ФРГ'];['Натан Юран'];['научно-фантастический фильм', 'фильм о монстрах', 'фильм-катастрофа', 'приключенческий фильм', 'фэнтезийный фильм', 'фильм-триллер', 'фильм ужасов'];6.3;20 миллионов миль до Земли;1957
['Испания'];['Эстибалис Урресола Солагурен'];['драматический фильм', 'ЛГБТ-фильм'];7.0;20 тысяч разновидностей пчёл;2023
['Испания', 'Франция'];['Рамон Саласар'];['комедия', 'мюзикл'];6.6;20 сантиметров;2005
['СССР'];['Григорий Никулин'];['исторический фильм'];6.4;20-е декабря;1981
['Украина'];['Мстислав Чернов'];['документальный фильм', 'военный фильм'];8.5;20 дней в Мариуполе;2023
['США'];['Род Харди'];['криминальный фильм', 'драма', 'триллер'];5.6;20 000 лье под водой;1997
['США'];['Майкл Кёртис'];['Криминальная мелодрама', 'Тюремная драма'];6.8;20 000 лет в Синг-Синге;1932
['США'];['Ричард Флейшер'];['драма', 'стимпанк', 'приключенческий фильм'];7.2;20 000 лье под водой;1954
